Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	2	0	0.05
3	3	0	0.075
4	3	0	0.1
5	3	0	0.125
6	3	0	0.15
7	4	0	0.175
8	4	0	0.2
9	4	0	0.225
10	4	0	0.25
11	5	0	0.275
12	5	0	0.3
13	5	0	0.325
14	6	0	0.35
15	6	0	0.375
16	7	0	0.4
17	7	0	0.425
18	7	0	0.45
19	7	0	0.475
20	8	0	0.5
21	8	0	0.525
22	8	0	0.55
23	9	0	0.575
24	9	0	0.6
25	9	0	0.625
26	10	0	0.65
27	10	0	0.675
28	10	0	0.7
29	10	0	0.725
30	11	0	0.75
31	11	0	0.775
32	11	0	0.8
33	12	0	0.825
34	12	0	0.85
35	12	0	0.875
36	12	0	0.9
37	13	0	0.925
38	13	0	0.95
39	13	0	0.975
40	14	0	1
41	14	0	1.025
42	14	0	1.05
43	14	0	1.075
44	14	0	1.1
45	15	0	1.125
46	15	0	1.15
47	15	0	1.175
48	15	0	1.2
49	16	0	1.225
50	16	0	1.25
51	16	0	1.275
52	16	0	1.3
53	16	0	1.325
54	17	0	1.35
55	17	0	1.375
56	17	0	1.4
57	17	0	1.425
58	17	0	1.45
59	18	0	1.475
60	18	0	1.5
61	18	0	1.525
62	18	0	1.55
63	18	0	1.575
64	18	0	1.6
65	18	0	1.625
66	19	0	1.65
67	19	0	1.675
68	19	0	1.7
69	19	0	1.725
70	19	0	1.75
71	19	0	1.775
72	20	0	1.8
73	20	0	1.825
74	20	0	1.85
75	20	0	1.875
76	20	0	1.9
77	20	0	1.925
78	21	0	1.95
79	21	0	1.975
80	21	0	2
81	21	0	2.025
82	21	0	2.05
83	21	0	2.075
84	22	0	2.1
85	22	0	2.125
86	22	0	2.15
87	22	0	2.175
88	22	0	2.2
89	22	0	2.225
90	23	0	2.25
91	23	0	2.275
92	23	0	2.3
93	23	0	2.325
94	23	0	2.35
95	24	0	2.375
96	24	0	2.4
97	24	0	2.425
98	24	0	2.45
99	24	0	2.475
100	24	0	2.5
101	25	0	2.525
102	25	0	2.55
103	25	0	2.575
104	25	0	2.6
105	25	0	2.625
106	25	0	2.65
107	26	0	2.675
108	26	0	2.7
109	26	0	2.725
110	26	0	2.75
111	26	0	2.775
112	26	0	2.8
113	27	0	2.825
114	27	0	2.85
115	27	0	2.875
116	27	0	2.9
117	28	0	2.925
118	28	0	2.95
119	28	0	2.975
120	28	0	3
121	28	0	3.025
122	29	0	3.05
123	29	0	3.075
124	29	0	3.1
125	29	0	3.125
126	29	0	3.15
127	29	0	3.175
128	30	0	3.2
129	30	0	3.225
130	30	0	3.25
131	30	0	3.275
132	30	0	3.3
133	31	0	3.325
134	31	0	3.35
135	31	0	3.375
136	31	0	3.4
137	31	0	3.425
138	31	0	3.45
139	32	0	3.475
140	32	0	3.5
141	32	0	3.525
142	32	0	3.55
143	32	0	3.575
144	32	0	3.6
145	33	0	3.625
146	33	0	3.65
147	33	0	3.675
148	33	0	3.7
149	33	0	3.725
150	33	0	3.75
151	34	0	3.775
152	34	0	3.8
153	34	0	3.825
154	34	0	3.85
155	34	0	3.875
156	35	0	3.9
157	35	0	3.925
158	35	0	3.95
159	35	0	3.975
160	35	0	4
