Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	1.07609423e-08	1.07609423e-08	1.07609423e-08	1.07609423e-08	0	0	0	0	0	0	3
2	2	0	0.05	-1.0885238e-09	4.83620926e-09	-1.0885238e-09	1.07609423e-08	5.92473306e-09	0	0	0	0	0	3
3	3	0	0.075	-7.84033919e-10	2.96279487e-09	-1.0885238e-09	1.07609423e-08	7.79814745e-09	0	0	0	0	0	3
4	3	0	0.1	8.24730977e-10	2.4282789e-09	-1.0885238e-09	1.07609423e-08	8.33266342e-09	0	0	0	0	0	3
5	3	0	0.125	8.50863691e-10	2.11279585e-09	-1.0885238e-09	1.07609423e-08	8.64814647e-09	0	0	0	0	0	3
6	3	0	0.15	6.95175432e-11	1.77224947e-09	-1.0885238e-09	1.07609423e-08	8.98869285e-09	0	0	0	0	0	3
7	4	0	0.175	1.37305364e-10	1.53868603e-09	-1.0885238e-09	1.07609423e-08	9.22225629e-09	0	0	0	0	0	3
8	4	0	0.2	1.92799375e-11	1.34876026e-09	-1.0885238e-09	1.07609423e-08	9.41218206e-09	0	0	0	0	0	3
9	4	0	0.225	1.16231759e-10	1.21181265e-09	-1.0885238e-09	1.07609423e-08	9.54912967e-09	0	0	0	0	0	3
10	4	0	0.25	3.64400321e-10	1.12707142e-09	-1.0885238e-09	1.07609423e-08	9.6338709e-09	0	0	0	0	0	3
11	5	0	0.275	1.45844457e-10	1.03786897e-09	-1.0885238e-09	1.07609423e-08	9.72307335e-09	0	0	0	0	0	3
12	5	0	0.3	1.10580894e-10	9.60594962e-10	-1.0885238e-09	1.07609423e-08	9.80034736e-09	0	0	0	0	0	3
13	5	0	0.325	1.16924101e-09	9.76644658e-10	-1.0885238e-09	1.07609423e-08	9.80034736e-09	0	0	0	0	0	3
14	6	0	0.35	-1.13087211e-10	8.98806667e-10	-1.0885238e-09	1.07609423e-08	9.86213565e-09	0	0	0	0	0	3
15	6	0	0.375	6.03787793e-10	8.79138742e-10	-1.0885238e-09	1.07609423e-08	9.88180358e-09	0	0	0	0	0	3
16	7	0	0.4	7.2906381e-11	8.2874922e-10	-1.0885238e-09	1.07609423e-08	9.9321931e-09	0	0	0	0	0	3
17	7	0	0.425	1.3281023e-10	7.87811632e-10	-1.0885238e-09	1.07609423e-08	9.97313069e-09	0	0	0	0	0	3
18	7	0	0.45	4.86829863e-10	7.71090423e-10	-1.0885238e-09	1.07609423e-08	9.9898519e-09	0	0	0	0	0	3
19	7	0	0.475	1.39428381e-09	8.03890075e-10	-1.0885238e-09	1.07609423e-08	9.9898519e-09	0	0	0	0	0	3
20	8	0	0.5	7.18521033e-10	7.99621623e-10	-1.0885238e-09	1.07609423e-08	9.9898519e-09	0	0	0	0	0	3
21	8	0	0.525	8.19667392e-10	3.02557876e-10	-1.0885238e-09	1.39428381e-09	2.48280761e-09	0	0	0	0	0	3
22	8	0	0.55	4.32222472e-10	3.7859519e-10	-7.84033919e-10	1.39428381e-09	2.17831773e-09	0	0	0	0	0	3
23	9	0	0.575	4.99498608e-10	4.42771816e-10	-1.13087211e-10	1.39428381e-09	1.50737102e-09	0	0	0	0	0	3
24	9	0	0.6	2.93831524e-10	4.16226844e-10	-1.13087211e-10	1.39428381e-09	1.50737102e-09	0	0	0	0	0	3
25	9	0	0.625	4.2549553e-10	3.94958436e-10	-1.13087211e-10	1.39428381e-09	1.46969159e-09	0	0	0	0	0	3
26	10	0	0.65	2.25160403e-10	4.02740578e-10	-1.13087211e-10	1.39428381e-09	1.23612815e-09	0	0	0	0	0	3
27	10	0	0.675	7.11459113e-10	4.31448266e-10	-1.13087211e-10	1.39428381e-09	1.04620239e-09	0	0	0	0	0	3
28	10	0	0.7	3.0794147e-10	4.45881343e-10	-1.13087211e-10	1.39428381e-09	9.09254776e-10	0	0	0	0	0	3
29	10	0	0.725	4.64752425e-11	4.42393517e-10	-1.13087211e-10	1.39428381e-09	8.24513543e-10	0	0	0	0	0	3
30	11	0	0.75	6.36019434e-10	4.55974472e-10	-1.13087211e-10	1.39428381e-09	7.35311092e-10	0	0	0	0	0	3
31	11	0	0.775	6.12140535e-10	4.79289276e-10	-1.13087211e-10	1.39428381e-09	6.74086782e-10	0	0	0	0	0	3
32	11	0	0.8	1.7935085e-12	4.73849907e-10	-1.13087211e-10	1.39428381e-09	6.74086782e-10	0	0	0	0	0	3
33	12	0	0.825	4.54750495e-11	4.17661609e-10	-1.13087211e-10	1.39428381e-09	5.96248791e-10	0	0	0	0	0	3
34	12	0	0.85	4.14801213e-10	4.4405603e-10	1.7935085e-12	1.39428381e-09	5.76580866e-10	0	0	0	0	0	3
35	12	0	0.875	8.65942369e-10	4.57163759e-10	1.7935085e-12	1.39428381e-09	5.26191343e-10	0	0	0	0	0	3
36	12	0	0.9	-8.09496268e-11	4.49470959e-10	-8.09496268e-11	1.39428381e-09	5.01332199e-10	0	0	0	0	0	3
37	13	0	0.925	-1.13196479e-11	4.42264465e-10	-8.09496268e-11	1.39428381e-09	5.01332199e-10	0	0	0	0	0	3
38	13	0	0.95	-8.06410901e-10	3.77602427e-10	-8.06410901e-10	1.39428381e-09	5.01332199e-10	0	0	0	0	0	3
39	13	0	0.975	8.08518595e-10	3.48314166e-10	-8.06410901e-10	8.65942369e-10	4.97063746e-10	0	0	0	0	0	3
40	14	0	1	-1.93020996e-10	3.02737064e-10	-8.06410901e-10	8.65942369e-10	1.767314e-10	0.00113664805	0	0	0	0	3
41	14	0	1.025	-8.37834572e-11	2.57564522e-10	-8.06410901e-10	8.65942369e-10	2.21724755e-10	0.00113664805	0	0	0	0	3
42	14	0	1.05	4.72919445e-10	2.5959937e-10	-8.06410901e-10	8.65942369e-10	2.21724755e-10	0.00113664805	0	0	0	0	3
43	14	0	1.075	8.27776641e-10	2.76013272e-10	-8.06410901e-10	8.65942369e-10	2.21724755e-10	0.00113664805	0	0	0	0	3
44	14	0	1.1	1.37152332e-09	3.28180417e-10	-8.06410901e-10	1.37152332e-09	2.21724755e-10	0.00113664805	0	0	0	0	3
45	15	0	1.125	-3.93964095e-10	2.95428245e-10	-8.06410901e-10	1.37152332e-09	2.21724755e-10	0.00113664805	0	0	0	0	3
46	15	0	1.15	5.95007757e-10	3.03500256e-10	-8.06410901e-10	1.37152332e-09	2.21724755e-10	0.00113664805	0	0	0	0	3
47	15	0	1.175	-3.97955285e-10	2.7382808e-10	-8.06410901e-10	1.37152332e-09	2.21724755e-10	0.00113664805	0	0	0	0	3
48	15	0	1.2	-1.40323087e-09	1.73128557e-10	-1.40323087e-09	1.37152332e-09	3.06160719e-10	0.00113664805	0	0	0	0	3
49	16	0	1.225	3.2169884e-10	1.7378367e-10	-1.40323087e-09	1.37152332e-09	3.06160719e-10	0.00113664805	0	0	0	0	3
50	16	0	1.25	7.99991946e-10	2.09665418e-10	-1.40323087e-09	1.37152332e-09	3.06160719e-10	0.00113664805	0	0	0	0	3
51	16	0	1.275	8.63277153e-10	2.20487214e-10	-1.40323087e-09	1.37152332e-09	3.06160719e-10	0.00113664805	0	0	0	0	3
52	16	0	1.3	-4.92725095e-10	1.67874565e-10	-1.40323087e-09	1.37152332e-09	3.05975342e-10	0.00113664805	0	0	0	0	3
53	16	0	1.325	7.48028849e-10	2.03409581e-10	-1.40323087e-09	1.37152332e-09	2.89289194e-10	0.00113664805	0	0	0	0	3
54	17	0	1.35	3.7066583e-10	2.18894856e-10	-1.40323087e-09	1.37152332e-09	2.89289194e-10	0.00113664805	0	0	0	0	3
