Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	1.92467198	1.92467198	1.92467198	1.92467198	0	0	0	0	0	0	3
2	3	0	0.05	1.85002857	1.88735027	1.85002857	1.92467198	0.037321705	0	0	0	0	0	3
3	3	0	0.075	1.76928038	1.84799364	1.76928038	1.92467198	0.0766783349	0	0	0	0	0	3
4	3	0	0.1	1.69298245	1.80924085	1.69298245	1.92467198	0.115431132	0	0	0	0	0	3
5	3	0	0.125	1.62272604	1.77193788	1.62272604	1.92467198	0.152734094	0	0	0	0	0	3
6	4	0	0.15	1.61755646	1.74620765	1.61755646	1.92467198	0.178464332	0	0	0	0	0	3
7	4	0	0.175	1.6175584	1.72782918	1.61755646	1.92467198	0.196842795	0	0	0	0	0	3
8	4	0	0.2	1.61754932	1.7140442	1.61754932	1.92467198	0.210627778	0	0	0	0	0	3
9	5	0	0.225	1.61760556	1.70332879	1.61754932	1.92467198	0.221343183	0	0	0	0	0	3
10	5	0	0.25	1.6177076	1.69476667	1.61754932	1.92467198	0.229905302	0	0	0	0	0	3
11	5	0	0.275	1.61781128	1.68777073	1.61754932	1.92467198	0.236901247	0	0	0	0	0	3
12	6	0	0.3	1.6178831	1.68194676	1.61754932	1.92467198	0.242725217	0	0	0	0	0	3
13	6	0	0.325	1.61792795	1.67702224	1.61754932	1.92467198	0.247649741	0	0	0	0	0	3
14	6	0	0.35	1.61794992	1.67280279	1.61754932	1.92467198	0.251869192	0	0	0	0	0	3
15	6	0	0.375	1.61794983	1.66914592	1.61754932	1.92467198	0.255526056	0	0	0	0	0	3
16	7	0	0.4	1.61792741	1.66594476	1.61754932	1.92467198	0.258727213	0	0	0	0	0	3
17	7	0	0.425	1.61774983	1.66310977	1.61754932	1.92467198	0.261562209	0	0	0	0	0	3
18	7	0	0.45	1.61757398	1.66058	1.61754932	1.92467198	0.264091975	0	0	0	0	0	3
19	7	0	0.475	1.6173922	1.65830696	1.6173922	1.92467198	0.266365017	0	0	0	0	0	3
20	8	0	0.5	1.61734194	1.65625871	1.61734194	1.92467198	0.268413269	0	0	0	0	0	3
21	9	0	0.525	1.61728613	1.64088942	1.61728613	1.85002857	0.232742441	0	0	0	0	0	3
22	9	0	0.55	1.61722139	1.62924906	1.61722139	1.76928038	0.152058993	0	0	0	0	0	3
23	9	0	0.575	1.61718154	1.62164412	1.61718154	1.69298245	0.0758009146	0	0	0	0	0	3
24	9	0	0.6	1.61716724	1.61785335	1.61716724	1.62272604	0.00555879455	0	0	0	0	0	3
25	10	0	0.625	1.61713838	1.61757397	1.61713838	1.61794992	0.000811537729	0	0	0	0	0	3
26	10	0	0.65	1.61713353	1.61755283	1.61713353	1.61794992	0.000816382315	0	0	0	0	0	3
27	10	0	0.675	1.61712789	1.6175313	1.61712789	1.61794992	0.000822030153	0	0	0	0	0	3
28	10	0	0.7	1.61709247	1.61750846	1.61709247	1.61794992	0.000857446094	0	0	0	0	0	3
29	11	0	0.725	1.61708999	1.61748268	1.61708999	1.61794992	0.00085992615	0	0	0	0	0	3
30	11	0	0.75	1.61707388	1.61745099	1.61707388	1.61794992	0.000876034943	0	0	0	0	0	3
31	11	0	0.775	1.61706776	1.61741382	1.61706776	1.61794992	0.000882155114	0	0	0	0	0	3
32	12	0	0.8	1.6170585	1.61737259	1.6170585	1.61794992	0.000891417243	0	0	0	0	0	3
33	12	0	0.825	1.61701631	1.61732701	1.61701631	1.61794992	0.000933611616	0	0	0	0	0	3
34	12	0	0.85	1.61701747	1.61728038	1.61701631	1.61794983	0.000933529564	0	0	0	0	0	3
35	12	0	0.875	1.61700492	1.61723314	1.61700492	1.61792741	0.000922484075	0	0	0	0	0	3
36	13	0	0.9	1.61696438	1.61718499	1.61696438	1.61774983	0.000785442642	0	0	0	0	0	3
37	13	0	0.925	1.61692516	1.61714375	1.61692516	1.61757398	0.000648814989	0	0	0	0	0	3
38	13	0	0.95	1.61692726	1.61711142	1.61692516	1.6173922	0.000467038548	0	0	0	0	0	3
39	13	0	0.975	1.61691092	1.61708735	1.61691092	1.61734194	0.000431011585	0	0	0	0	0	3
40	14	0	1	1.61690693	1.6170656	1.61690693	1.61728613	0.000379192198	0.00954650131	0	100	0	0	3
