Iteration	CPUTime	PhysTime	Travels
1	3	0	0.025
2	4	0	0.05
3	4	0	0.075
4	5	0	0.1
5	5	0	0.125
6	5	0	0.15
7	6	0	0.175
8	6	0	0.2
9	6	0	0.225
10	6	0	0.25
11	7	0	0.275
12	7	0	0.3
13	8	0	0.325
14	8	0	0.35
15	8	0	0.375
16	9	0	0.4
17	9	0	0.425
18	9	0	0.45
19	10	0	0.475
20	10	0	0.5
21	10	0	0.525
22	11	0	0.55
23	11	0	0.575
24	11	0	0.6
25	12	0	0.625
26	12	0	0.65
27	12	0	0.675
28	13	0	0.7
29	13	0	0.725
30	13	0	0.75
31	13	0	0.775
32	13	0	0.8
33	14	0	0.825
34	14	0	0.85
35	15	0	0.875
36	15	0	0.9
37	15	0	0.925
38	16	0	0.95
39	16	0	0.975
40	16	0	1
41	16	0	1.025
42	17	0	1.05
43	17	0	1.075
44	17	0	1.1
45	17	0	1.125
46	17	0	1.15
47	18	0	1.175
48	18	0	1.2
49	18	0	1.225
50	18	0	1.25
51	19	0	1.275
52	19	0	1.3
53	19	0	1.325
54	19	0	1.35
55	20	0	1.375
56	20	0	1.4
57	20	0	1.425
58	20	0	1.45
59	21	0	1.475
60	21	0	1.5
61	21	0	1.525
62	21	0	1.55
63	22	0	1.575
64	22	0	1.6
65	22	0	1.625
66	22	0	1.65
67	22	0	1.675
68	23	0	1.7
69	23	0	1.725
70	23	0	1.75
71	23	0	1.775
72	23	0	1.8
73	24	0	1.825
74	24	0	1.85
75	24	0	1.875
76	24	0	1.9
77	24	0	1.925
78	24	0	1.95
79	25	0	1.975
80	25	0	2
81	25	0	2.025
82	25	0	2.05
83	25	0	2.075
84	26	0	2.1
85	26	0	2.125
86	26	0	2.15
87	26	0	2.175
88	27	0	2.2
89	27	0	2.225
90	27	0	2.25
91	27	0	2.275
92	27	0	2.3
93	28	0	2.325
94	28	0	2.35
95	28	0	2.375
96	28	0	2.4
97	28	0	2.425
98	29	0	2.45
99	29	0	2.475
100	29	0	2.5
101	30	0	2.525
102	30	0	2.55
103	30	0	2.575
104	30	0	2.6
105	30	0	2.625
106	31	0	2.65
107	31	0	2.675
108	31	0	2.7
109	31	0	2.725
110	31	0	2.75
111	32	0	2.775
112	32	0	2.8
113	32	0	2.825
114	32	0	2.85
115	32	0	2.875
116	33	0	2.9
117	33	0	2.925
118	33	0	2.95
119	33	0	2.975
120	33	0	3
121	33	0	3.025
122	34	0	3.05
123	34	0	3.075
124	34	0	3.1
125	34	0	3.125
126	34	0	3.15
127	35	0	3.175
128	35	0	3.2
129	35	0	3.225
130	35	0	3.25
131	35	0	3.275
132	35	0	3.3
133	35	0	3.325
134	36	0	3.35
135	36	0	3.375
136	36	0	3.4
137	36	0	3.425
138	36	0	3.45
139	37	0	3.475
140	37	0	3.5
141	37	0	3.525
142	37	0	3.55
143	37	0	3.575
144	38	0	3.6
145	38	0	3.625
146	38	0	3.65
147	38	0	3.675
148	39	0	3.7
149	39	0	3.725
150	39	0	3.75
151	40	0	3.775
152	40	0	3.8
153	40	0	3.825
154	40	0	3.85
155	41	0	3.875
156	41	0	3.9
157	41	0	3.925
158	41	0	3.95
159	42	0	3.975
160	42	0	4
