Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	2.40550409e-08	2.40550409e-08	2.40550409e-08	2.40550409e-08	0	0	0	0	0	0	3
2	2	0	0.05	-2.56947391e-09	1.07427835e-08	-2.56947391e-09	2.40550409e-08	1.33122574e-08	0	0	0	0	0	3
3	3	0	0.075	-2.42195288e-09	6.35453803e-09	-2.56947391e-09	2.40550409e-08	1.77005029e-08	0	0	0	0	0	3
4	3	0	0.1	3.01026203e-09	5.51846903e-09	-2.56947391e-09	2.40550409e-08	1.85365719e-08	0	0	0	0	0	3
5	3	0	0.125	2.96886982e-09	5.00854919e-09	-2.56947391e-09	2.40550409e-08	1.90464917e-08	0	0	0	0	0	3
6	4	0	0.15	1.64515725e-10	4.20121028e-09	-2.56947391e-09	2.40550409e-08	1.98538306e-08	0	0	0	0	0	3
7	4	0	0.175	7.37940734e-10	3.70645749e-09	-2.56947391e-09	2.40550409e-08	2.03485834e-08	0	0	0	0	0	3
8	4	0	0.2	-1.65807114e-11	3.24107771e-09	-2.56947391e-09	2.40550409e-08	2.08139632e-08	0	0	0	0	0	3
9	4	0	0.225	-5.98079041e-11	2.87431264e-09	-2.56947391e-09	2.40550409e-08	2.11807282e-08	0	0	0	0	0	3
10	4	0	0.25	4.16673658e-10	2.62854875e-09	-2.56947391e-09	2.40550409e-08	2.14264921e-08	0	0	0	0	0	3
11	5	0	0.275	7.42843048e-12	2.39026508e-09	-2.56947391e-09	2.40550409e-08	2.16647758e-08	0	0	0	0	0	3
12	5	0	0.3	-1.21489078e-10	2.18095223e-09	-2.56947391e-09	2.40550409e-08	2.18740887e-08	0	0	0	0	0	3
13	5	0	0.325	6.8261966e-10	2.06569588e-09	-2.56947391e-09	2.40550409e-08	2.1989345e-08	0	0	0	0	0	3
14	6	0	0.35	-2.55044557e-10	1.89992871e-09	-2.56947391e-09	2.40550409e-08	2.21551122e-08	0	0	0	0	0	3
15	6	0	0.375	9.37246826e-10	1.83574992e-09	-2.56947391e-09	2.40550409e-08	2.2219291e-08	0	0	0	0	0	3
16	6	0	0.4	6.30367874e-10	1.76041354e-09	-2.56947391e-09	2.40550409e-08	2.22946273e-08	0	0	0	0	0	3
