Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	2	0	0.05
3	2	0	0.075
4	2	0	0.1
5	3	0	0.125
6	3	0	0.15
7	3	0	0.175
8	3	0	0.2
9	4	0	0.225
10	4	0	0.25
11	4	0	0.275
12	4	0	0.3
13	4	0	0.325
14	5	0	0.35
15	5	0	0.375
16	5	0	0.4
17	5	0	0.425
18	6	0	0.45
19	6	0	0.475
20	6	0	0.5
21	6	0	0.525
22	6	0	0.55
23	7	0	0.575
24	7	0	0.6
25	7	0	0.625
26	7	0	0.65
27	8	0	0.675
28	8	0	0.7
29	8	0	0.725
30	8	0	0.75
31	9	0	0.775
32	9	0	0.8
33	9	0	0.825
34	9	0	0.85
35	9	0	0.875
36	10	0	0.9
37	10	0	0.925
38	10	0	0.95
39	10	0	0.975
40	11	0	1
41	11	0	1.025
42	11	0	1.05
43	11	0	1.075
44	11	0	1.1
45	12	0	1.125
46	12	0	1.15
47	12	0	1.175
48	12	0	1.2
49	12	0	1.225
50	12	0	1.25
51	13	0	1.275
52	13	0	1.3
53	13	0	1.325
54	13	0	1.35
55	13	0	1.375
56	13	0	1.4
57	14	0	1.425
58	14	0	1.45
59	14	0	1.475
60	14	0	1.5
61	14	0	1.525
62	14	0	1.55
63	14	0	1.575
64	15	0	1.6
65	15	0	1.625
66	15	0	1.65
67	15	0	1.675
68	15	0	1.7
69	15	0	1.725
70	16	0	1.75
71	16	0	1.775
72	16	0	1.8
73	16	0	1.825
74	16	0	1.85
75	16	0	1.875
76	17	0	1.9
77	17	0	1.925
78	17	0	1.95
79	17	0	1.975
80	17	0	2
81	17	0	2.025
82	17	0	2.05
83	18	0	2.075
84	18	0	2.1
85	18	0	2.125
86	18	0	2.15
87	18	0	2.175
88	18	0	2.2
89	18	0	2.225
90	19	0	2.25
91	19	0	2.275
92	19	0	2.3
93	19	0	2.325
94	19	0	2.35
95	19	0	2.375
96	19	0	2.4
97	20	0	2.425
98	20	0	2.45
99	20	0	2.475
100	20	0	2.5
101	20	0	2.525
102	20	0	2.55
103	21	0	2.575
104	21	0	2.6
105	21	0	2.625
106	21	0	2.65
107	21	0	2.675
108	21	0	2.7
109	22	0	2.725
110	22	0	2.75
111	22	0	2.775
112	22	0	2.8
113	22	0	2.825
114	22	0	2.85
115	23	0	2.875
116	23	0	2.9
117	23	0	2.925
118	23	0	2.95
119	23	0	2.975
120	23	0	3
121	23	0	3.025
122	24	0	3.05
123	24	0	3.075
124	24	0	3.1
125	24	0	3.125
126	24	0	3.15
127	24	0	3.175
128	24	0	3.2
129	25	0	3.225
130	25	0	3.25
131	25	0	3.275
132	25	0	3.3
133	25	0	3.325
134	25	0	3.35
135	25	0	3.375
136	26	0	3.4
137	26	0	3.425
138	26	0	3.45
139	26	0	3.475
140	26	0	3.5
141	26	0	3.525
142	27	0	3.55
143	27	0	3.575
144	27	0	3.6
145	27	0	3.625
146	27	0	3.65
147	27	0	3.675
148	27	0	3.7
149	28	0	3.725
150	28	0	3.75
151	28	0	3.775
152	28	0	3.8
153	28	0	3.825
154	28	0	3.85
155	29	0	3.875
156	29	0	3.9
157	29	0	3.925
158	29	0	3.95
159	29	0	3.975
160	29	0	4
