Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.687747898	0.687747898	0.687747898	0.687747898	0	0	0	0	0	0	3
2	3	0	0.05	0.633037842	0.66039287	0.633037842	0.687747898	0.0273550283	0	0	0	0	0	3
3	3	0	0.075	0.607168184	0.642651308	0.607168184	0.687747898	0.0450965905	0	0	0	0	0	3
4	3	0	0.1	0.607964047	0.633979493	0.607168184	0.687747898	0.0537684059	0	0	0	0	0	3
5	4	0	0.125	0.609140552	0.629011705	0.607168184	0.687747898	0.058736194	0	0	0	0	0	3
6	4	0	0.15	0.609981831	0.625840059	0.607168184	0.687747898	0.0619078395	0	0	0	0	0	3
7	4	0	0.175	0.610701875	0.623677461	0.607168184	0.687747898	0.0640704372	0	0	0	0	0	3
8	4	0	0.2	0.611197053	0.62211741	0.607168184	0.687747898	0.0656304883	0	0	0	0	0	3
9	4	0	0.225	0.611694473	0.620959306	0.607168184	0.687747898	0.0667885924	0	0	0	0	0	3
10	5	0	0.25	0.612170751	0.620080451	0.607168184	0.687747898	0.0676674478	0	0	0	0	0	3
11	5	0	0.275	0.612389811	0.619381302	0.607168184	0.687747898	0.0683665969	0	0	0	0	0	3
12	5	0	0.3	0.615721902	0.619076352	0.607168184	0.687747898	0.0686715469	0	0	0	0	0	3
13	6	0	0.325	0.616229992	0.618857401	0.607168184	0.687747898	0.0688904976	0	0	0	0	0	3
14	6	0	0.35	0.623525444	0.619190832	0.607168184	0.687747898	0.0688904976	0	0	0	0	0	3
15	6	0	0.375	0.628729791	0.619826763	0.607168184	0.687747898	0.0688904976	0	0	0	0	0	3
16	6	0	0.4	0.628338542	0.620358749	0.607168184	0.687747898	0.0688904976	0	0	0	0	0	3
17	7	0	0.425	0.626814452	0.620738496	0.607168184	0.687747898	0.0688904976	0	0	0	0	0	3
18	7	0	0.45	0.628177571	0.621151778	0.607168184	0.687747898	0.0688904976	0	0	0	0	0	3
19	7	0	0.475	0.623712562	0.621286556	0.607168184	0.687747898	0.0688904976	0	0	0	0	0	3
20	7	0	0.5	0.625171055	0.621480781	0.607168184	0.687747898	0.0688904976	0	0	0	0	0	3
21	8	0	0.525	0.625786888	0.618382731	0.607168184	0.633037842	0.0258696583	0	0	0	0	0	3
22	8	0	0.55	0.624338746	0.617947776	0.607168184	0.628729791	0.0215616074	0	0	0	0	0	3
23	8	0	0.575	0.622993656	0.61873905	0.607964047	0.628729791	0.0160317165	0	0	0	0	0	3
24	8	0	0.6	0.622089123	0.619445304	0.609140552	0.628729791	0.0110639284	0	0	0	0	0	3
25	9	0	0.625	0.621630262	0.620069789	0.609981831	0.628729791	0.0078922829	0	0	0	0	0	3
26	9	0	0.65	0.622534625	0.620697429	0.610701875	0.628729791	0.00572968518	0	0	0	0	0	3
27	9	0	0.675	0.621736654	0.621249168	0.611197053	0.628729791	0.00416963415	0	0	0	0	0	3
28	9	0	0.7	0.621894906	0.62178406	0.611694473	0.628729791	0.00383628429	0	0	0	0	0	3
29	10	0	0.725	0.623253092	0.622361991	0.612170751	0.628729791	0.00441421523	0	0	0	0	0	3
30	10	0	0.75	0.622969414	0.622901924	0.612389811	0.628729791	0.00495414835	0	0	0	0	0	3
31	10	0	0.775	0.623664035	0.623465636	0.615721902	0.628729791	0.00551785955	0	0	0	0	0	3
32	10	0	0.8	0.623680428	0.623863562	0.616229992	0.628729791	0.00591578583	0	0	0	0	0	3
33	11	0	0.825	0.624750513	0.624289588	0.621630262	0.628729791	0.00634181188	0	0	0	0	0	3
34	11	0	0.85	0.624563865	0.624341509	0.621630262	0.628729791	0.00639373295	0	0	0	0	0	3
35	11	0	0.875	0.624056648	0.624107852	0.621630262	0.628338542	0.00639373295	0	0	0	0	0	3
36	11	0	0.9	0.623958206	0.623888835	0.621630262	0.628177571	0.00639373295	0	0	0	0	0	3
37	12	0	0.925	0.624641238	0.623780174	0.621630262	0.628177571	0.00639373295	0	0	0	0	0	3
38	12	0	0.95	0.624368122	0.623589702	0.621630262	0.625786888	0.00415662573	0	0	0	0	0	3
39	12	0	0.975	0.624548567	0.623631502	0.621630262	0.625786888	0.00415662573	0	0	0	0	0	3
40	12	0	1	0.624525198	0.623599209	0.621630262	0.625786888	0.00415662573	0.00135087782	0	32.4	0	0	3
41	13	0	1.025	0.62494589	0.623557159	0.621630262	0.62494589	0.0033156271	0.00135087782	0	40.7	0	0	3
42	13	0	1.05	0.62529094	0.623604769	0.621630262	0.62529094	0.00366067773	0.00135087782	0	36.9	0	0	3
43	13	0	1.075	0.625067455	0.623708459	0.621630262	0.62529094	0.00366067773	0.00135087782	0	36.9	0	0	3
44	13	0	1.1	0.625804974	0.623808293	0.621630262	0.625804974	0.00417471119	0.00135087782	0	32.3	0	0	3
45	14	0	1.125	0.625162925	0.623954665	0.621630262	0.625804974	0.00417471119	0.00135087782	0	32.3	0	0	3
46	14	0	1.15	0.625791407	0.624152814	0.621736654	0.625804974	0.00364408029	0.00135087782	0	37	0	0	3
47	14	0	1.175	0.626235789	0.62432906	0.621736654	0.626235789	0.00309234133	0.00135087782	0	43.6	0	0	3
48	14	0	1.2	0.626437774	0.624552923	0.621894906	0.626437774	0.0027688627	0.00135087782	0	48.7	0	0	3
49	14	0	1.225	0.625270185	0.624713651	0.622969414	0.626437774	0.00235165932	0.00135087782	0	57.4	0	0	3
50	15	0	1.25	0.6258386	0.62483677	0.622969414	0.626437774	0.00193484565	0.00135087782	0	69.8	0	0	3
51	15	0	1.275	0.625183404	0.624942198	0.623664035	0.626437774	0.00147656254	0.00135087782	0	91.4	0	0	3
52	15	0	1.3	0.625480389	0.625028691	0.623680428	0.626437774	0.00147153179	0.00135087782	0	91.8	0	0	3
53	15	0	1.325	0.625471081	0.62511396	0.623958206	0.626437774	0.00155680098	0.00135087782	0	86.7	0	0	3
54	15	0	1.35	0.62600427	0.625173663	0.623958206	0.626437774	0.0016165037	0.00135087782	0	83.5	0	0	3
55	15	0	1.375	0.625484104	0.625217484	0.623958206	0.626437774	0.00166032462	0.00135087782	0	81.3	0	0	3
56	16	0	1.4	0.625793169	0.625300176	0.623958206	0.626437774	0.00174301608	0.00135087782	0	77.5	0	0	3
57	16	0	1.425	0.626120084	0.625403122	0.624368122	0.626437774	0.00184596263	0.00135087782	0	73.1	0	0	3
58	16	0	1.45	0.626993853	0.625515151	0.624368122	0.626993853	0.00195799191	0.00135087782	0	68.9	0	0	3
59	16	0	1.475	0.62567121	0.625577203	0.624525198	0.626993853	0.00202004373	0.00135087782	0	66.8	0	0	3
60	16	0	1.5	0.62656682	0.62567331	0.624525198	0.626993853	0.00211615099	0.00135087782	0	63.8	0	0	3
61	16	0	1.525	0.626549305	0.625769696	0.62494589	0.626993853	0.00204796309	0.00135087782	0	65.9	0	0	3
62	17	0	1.55	0.627437894	0.625888363	0.625067455	0.627437894	0.0022835942	0.00135087782	0	59.1	0	0	3
63	17	0	1.575	0.626223077	0.625932751	0.625067455	0.627437894	0.00222429173	0.00135087782	0	60.7	0	0	3
64	17	0	1.6	0.626735102	0.626012163	0.625162925	0.627437894	0.00220386944	0.00135087782	0	61.2	0	0	3
65	17	0	1.625	0.626471688	0.626043911	0.625162925	0.627437894	0.00208924623	0.00135087782	0	64.6	0	0	3
66	17	0	1.65	0.627682371	0.626163885	0.625183404	0.627682371	0.00201107015	0.00135087782	0	67.1	0	0	3
67	17	0	1.675	0.625864962	0.626167387	0.625183404	0.627682371	0.00183832691	0.00135087782	0	73.4	0	0	3
68	18	0	1.7	0.626329622	0.626171855	0.625183404	0.627682371	0.00161893231	0.00135087782	0	83.4	0	0	3
69	18	0	1.725	0.6260703	0.626154357	0.625183404	0.627682371	0.00145820476	0.00135087782	0	92.6	0	0	3
70	18	0	1.75	0.627288258	0.626250455	0.625183404	0.627682371	0.00141368531	0.00135087782	0	95.5	0	0	3
71	18	0	1.775	0.627841864	0.626345849	0.625183404	0.627841864	0.00140365072	0.00135087782	0	96.2	0	0	3
72	18	0	1.8	0.627318978	0.626447543	0.625471081	0.627841864	0.00141885167	0.00135087782	0	95.2	0	0	3
73	18	0	1.825	0.626576732	0.62649975	0.625471081	0.627841864	0.0013857893	0.00135087782	0	97.4	0	0	3
74	19	0	1.85	0.626711923	0.626558837	0.625484104	0.627841864	0.00138517432	0.00135087782	0	97.5	0	0	3
75	19	0	1.875	0.626790412	0.626596273	0.625484104	0.627841864	0.00137878873	0.00135087782	0	97.9	0	0	3
76	19	0	1.9	0.62785779	0.626709305	0.62567121	0.62785779	0.00140912993	0.00135087782	0	95.8	0	0	3
77	19	0	1.925	0.625972597	0.62671785	0.62567121	0.62785779	0.00131472758	0.00135087782	0	100	0	0	3
