Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	16053.3581	16053.3581	16053.3581	16053.3581	0	0	0	0	0	0	3
2	2	0	0.05	16014.4621	16033.9101	16014.4621	16053.3581	19.4480111	0	0	0	0	0	3
3	3	0	0.075	16013.2204	16027.0135	16013.2204	16053.3581	26.3445824	0	0	0	0	0	3
4	3	0	0.1	16013.2252	16023.5664	16013.2204	16053.3581	29.7916623	0	0	0	0	0	3
5	3	0	0.125	16013.0699	16021.4671	16013.0699	16053.3581	31.8909711	0	0	0	0	0	3
6	3	0	0.15	16012.7328	16020.0114	16012.7328	16053.3581	33.346696	0	0	0	0	0	3
7	3	0	0.175	16012.6639	16018.9618	16012.6639	16053.3581	34.3963345	0	0	0	0	0	3
8	4	0	0.2	16012.58	16018.164	16012.58	16053.3581	35.1940576	0	0	0	0	0	3
9	4	0	0.225	16012.5086	16017.5356	16012.5086	16053.3581	35.8224432	0	0	0	0	0	3
10	4	0	0.25	16012.5751	16017.0396	16012.5086	16053.3581	36.3184971	0	0	0	0	0	3
11	5	0	0.275	16012.4662	16016.6238	16012.4662	16053.3581	36.7342574	0	0	0	0	0	3
12	5	0	0.3	16012.465	16016.2773	16012.465	16053.3581	37.0808247	0	0	0	0	0	3
13	5	0	0.325	16012.6204	16015.996	16012.465	16053.3581	37.3621252	0	0	0	0	0	3
14	5	0	0.35	16012.2624	16015.7293	16012.2624	16053.3581	37.6288066	0	0	0	0	0	3
15	5	0	0.375	16012.1065	16015.4878	16012.1065	16053.3581	37.8703267	0	0	0	0	0	3
16	6	0	0.4	16012.1368	16015.2783	16012.1065	16053.3581	38.0797598	0	0	0	0	0	3
17	6	0	0.425	16011.9774	16015.0842	16011.9774	16053.3581	38.27393	0	0	0	0	0	3
18	6	0	0.45	16012.0572	16014.916	16011.9774	16053.3581	38.4420933	0	0	0	0	0	3
19	6	0	0.475	16012.1412	16014.77	16011.9774	16053.3581	38.5881359	0	0	0	0	0	3
20	6	0	0.5	16012.0762	16014.6353	16011.9774	16053.3581	38.7228218	0	0	0	0	0	3
21	7	0	0.525	16011.993	16012.567	16011.9774	16014.4621	2.48463184	0	0	0	0	0	3
22	7	0	0.55	16012.0305	16012.4454	16011.9774	16013.2252	1.24775181	0	0	0	0	0	3
23	7	0	0.575	16011.8914	16012.379	16011.8914	16013.2252	1.3337665	0	0	0	0	0	3
24	7	0	0.6	16011.9231	16012.3139	16011.8914	16013.0699	1.17846219	0	0	0	0	0	3
25	8	0	0.625	16012.0941	16012.2651	16011.8914	16012.7328	0.841348364	0	0	0	0	0	3
26	8	0	0.65	16011.9237	16012.2246	16011.8914	16012.6639	0.772502989	0	0	0	0	0	3
27	8	0	0.675	16011.8213	16012.1825	16011.8213	16012.6204	0.799045384	0	0	0	0	0	3
28	8	0	0.7	16012.0494	16012.156	16011.8213	16012.6204	0.799045384	0	0	0	0	0	3
29	9	0	0.725	16011.8937	16012.1252	16011.8213	16012.6204	0.799045384	0	0	0	0	0	3
30	9	0	0.75	16011.8204	16012.0875	16011.8204	16012.6204	0.800005176	0	0	0	0	0	3
31	9	0	0.775	16011.9106	16012.0597	16011.8204	16012.6204	0.800005176	0	0	0	0	0	3
32	9	0	0.8	16011.7339	16012.0232	16011.7339	16012.6204	0.88642809	0	0	0	0	0	3
33	9	0	0.825	16011.6762	16011.976	16011.6762	16012.2624	0.586203552	0	0	0	0	0	3
34	10	0	0.85	16011.6643	16011.9461	16011.6643	16012.1412	0.476856898	0	0	0	0	0	3
35	10	0	0.875	16011.7749	16011.9295	16011.6643	16012.1412	0.476856898	0	0	0	0	0	3
36	10	0	0.9	16011.7262	16011.9089	16011.6643	16012.1412	0.476856898	0	0	0	0	0	3
37	10	0	0.925	16011.7734	16011.8987	16011.6643	16012.1412	0.476856898	0	0	0	0	0	3
38	11	0	0.95	16011.9348	16011.8926	16011.6643	16012.1412	0.476856898	0	0	0	0	0	3
39	11	0	0.975	16011.9693	16011.884	16011.6643	16012.0941	0.429765106	0	0	0	0	0	3
