Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	309.749987	309.749987	309.749987	309.749987	0	0	0	0	0	0	3
2	2	0	0.05	309.749996	309.749992	309.749987	309.749996	4.63500692e-06	0	0	0	0	0	3
3	3	0	0.075	309.749997	309.749993	309.749987	309.749997	6.27766804e-06	0	0	0	0	0	3
4	3	0	0.1	309.749997	309.749994	309.749987	309.749997	7.09777208e-06	0	0	0	0	0	3
5	3	0	0.125	309.749997	309.749995	309.749987	309.749997	7.59646673e-06	0	0	0	0	0	3
6	3	0	0.15	309.749997	309.749995	309.749987	309.749997	7.94253708e-06	0	0	0	0	0	3
7	3	0	0.175	309.749997	309.749995	309.749987	309.749997	8.193035e-06	0	0	0	0	0	3
8	4	0	0.2	309.749997	309.749995	309.749987	309.749997	8.3850245e-06	0	0	0	0	0	3
9	4	0	0.225	309.749997	309.749995	309.749987	309.749997	8.53835508e-06	0	0	0	0	0	3
10	4	0	0.25	309.749997	309.749996	309.749987	309.749997	8.66210172e-06	0	0	0	0	0	3
11	5	0	0.275	309.749997	309.749996	309.749987	309.749997	8.77182714e-06	0	0	0	0	0	3
12	5	0	0.3	309.749997	309.749996	309.749987	309.749997	8.87123821e-06	0	0	0	0	0	3
13	5	0	0.325	309.749997	309.749996	309.749987	309.749997	8.96211071e-06	0	0	0	0	0	3
14	5	0	0.35	309.749997	309.749996	309.749987	309.749997	9.05712915e-06	0	0	0	0	0	3
15	5	0	0.375	309.749997	309.749996	309.749987	309.749997	9.15422282e-06	0	0	0	0	0	3
16	6	0	0.4	309.749998	309.749996	309.749987	309.749998	9.25977776e-06	0	0	0	0	0	3
17	6	0	0.425	309.749998	309.749996	309.749987	309.749998	9.37775064e-06	0	0	0	0	0	3
18	6	0	0.45	309.749999	309.749996	309.749987	309.749999	9.5052938e-06	0	0	0	0	0	3
19	6	0	0.475	309.749999	309.749997	309.749987	309.749999	9.64268577e-06	0	0	0	0	0	3
20	6	0	0.5	309.75	309.749997	309.749987	309.75	9.7918886e-06	0	0	0	0	0	3
21	7	0	0.525	309.75	309.749997	309.749996	309.75	4.1830981e-06	0	0	0	0	0	3
22	7	0	0.55	309.750001	309.749998	309.749997	309.750001	4.43830203e-06	0	0	0	0	0	3
23	7	0	0.575	309.750002	309.749998	309.749997	309.750002	3.90176251e-06	0	0	0	0	0	3
24	7	0	0.6	309.750003	309.749998	309.749997	309.750003	3.73392999e-06	0	0	0	0	0	3
25	8	0	0.625	309.750004	309.749999	309.749997	309.750004	3.7644503e-06	0	0	0	0	0	3
26	8	0	0.65	309.750006	309.749999	309.749997	309.750006	3.96611199e-06	0	0	0	0	0	3
27	8	0	0.675	309.750007	309.75	309.749997	309.750007	4.3061641e-06	0	0	0	0	0	3
28	8	0	0.7	309.750009	309.75	309.749997	309.750009	4.76121176e-06	0	0	0	0	0	3
29	9	0	0.725	309.750011	309.750001	309.749997	309.750011	5.32639564e-06	0	0	0	0	0	3
30	9	0	0.75	309.750012	309.750002	309.749997	309.750012	5.98562093e-06	0	0	0	0	0	3
31	9	0	0.775	309.750014	309.750003	309.749997	309.750014	6.76615412e-06	0	0	0	0	0	3
32	9	0	0.8	309.750017	309.750004	309.749997	309.750017	7.66541484e-06	0	0	0	0	0	3
33	9	0	0.825	309.750019	309.750005	309.749997	309.750019	8.66521816e-06	0	0	0	0	0	3
34	10	0	0.85	309.750021	309.750006	309.749997	309.750021	9.7546519e-06	0	0	0	0	0	3
35	10	0	0.875	309.750023	309.750007	309.749998	309.750023	1.09217552e-05	0	0	0	0	0	3
36	10	0	0.9	309.750026	309.750009	309.749998	309.750026	1.21978076e-05	0	0	0	0	0	3
37	10	0	0.925	309.750028	309.75001	309.749999	309.750028	1.35695613e-05	0	0	0	0	0	3
38	11	0	0.95	309.750031	309.750012	309.749999	309.750031	1.50259801e-05	0	0	0	0	0	3
39	11	0	0.975	309.750033	309.750013	309.75	309.750033	1.65552225e-05	0	0	0	0	0	3
40	11	0	1	309.750035	309.750015	309.75	309.750035	1.76357138e-05	3.09750035e-06	0	0	0	0	3
41	11	0	1.025	309.750037	309.750017	309.750001	309.750037	1.92278546e-05	3.09750037e-06	0	0	0	0	3
42	12	0	1.05	309.75004	309.750019	309.750002	309.75004	2.08644447e-05	3.0975004e-06	0	0	0	0	3
43	12	0	1.075	309.750042	309.750021	309.750003	309.750042	2.25144097e-05	3.09750042e-06	0	0	0	0	3
44	12	0	1.1	309.750044	309.750022	309.750003	309.750044	2.36112994e-05	3.09750044e-06	0	0	0	0	3
45	12	0	1.125	309.750046	309.750024	309.750004	309.750046	2.52552414e-05	3.09750046e-06	0	0	0	0	3
46	12	0	1.15	309.750048	309.750026	309.750006	309.750048	2.68891361e-05	3.09750048e-06	0	0	0	0	3
47	13	0	1.175	309.75005	309.750028	309.750007	309.75005	2.8472284e-05	3.0975005e-06	0	0	0	0	3
48	13	0	1.2	309.750052	309.75003	309.750009	309.750052	2.99898265e-05	3.09750052e-06	0	0	0	0	3
49	13	0	1.225	309.750054	309.750032	309.750011	309.750054	3.14314028e-05	3.09750054e-06	0	0	0	0	3
50	13	0	1.25	309.750055	309.750035	309.750012	309.750055	3.2786678e-05	3.13649561e-06	0	0	0	0	3
51	13	0	1.275	309.750057	309.750037	309.750014	309.750057	3.40493732e-05	3.19469934e-06	0	0	0	0	3
52	13	0	1.3	309.750059	309.750039	309.750017	309.750059	3.51727408e-05	3.25158498e-06	0	0	0	0	3
53	14	0	1.325	309.75006	309.750041	309.750019	309.75006	3.61561464e-05	3.3068078e-06	0	0	0	0	3
54	14	0	1.35	309.750062	309.750043	309.750021	309.750062	3.70084642e-05	3.35913042e-06	0	0	0	0	3
55	14	0	1.375	309.750063	309.750045	309.750023	309.750063	3.7735042e-05	3.40874097e-06	0	0	0	0	3
56	14	0	1.4	309.750064	309.750047	309.750026	309.750064	3.83200644e-05	3.45681096e-06	0	0	0	0	3
57	14	0	1.425	309.750066	309.750049	309.750028	309.750066	3.76674595e-05	3.50279977e-06	0	0	0	0	3
58	14	0	1.45	309.750067	309.750051	309.750031	309.750067	3.65123378e-05	3.54623754e-06	0	0	0	0	3
59	15	0	1.475	309.750068	309.750052	309.750033	309.750068	3.5432667e-05	3.58712433e-06	0	0	0	0	3
