Iteration	CPUTime	PhysTime	Travels
1	3	0	0.025
2	3	0	0.05
3	3	0	0.075
4	4	0	0.1
5	4	0	0.125
6	4	0	0.15
7	4	0	0.175
8	5	0	0.2
9	5	0	0.225
10	5	0	0.25
11	5	0	0.275
12	6	0	0.3
13	6	0	0.325
14	7	0	0.35
15	7	0	0.375
16	7	0	0.4
17	8	0	0.425
18	8	0	0.45
19	8	0	0.475
20	8	0	0.5
21	9	0	0.525
22	9	0	0.55
23	10	0	0.575
24	10	0	0.6
25	10	0	0.625
26	11	0	0.65
27	11	0	0.675
28	11	0	0.7
29	11	0	0.725
30	12	0	0.75
31	12	0	0.775
32	12	0	0.8
33	13	0	0.825
34	13	0	0.85
35	14	0	0.875
36	14	0	0.9
37	14	0	0.925
38	14	0	0.95
39	15	0	0.975
40	15	0	1
41	15	0	1.025
42	16	0	1.05
43	16	0	1.075
44	16	0	1.1
45	17	0	1.125
46	17	0	1.15
47	17	0	1.175
48	17	0	1.2
49	17	0	1.225
50	18	0	1.25
51	18	0	1.275
52	18	0	1.3
53	18	0	1.325
54	18	0	1.35
55	19	0	1.375
56	19	0	1.4
57	19	0	1.425
58	19	0	1.45
59	19	0	1.475
60	19	0	1.5
61	20	0	1.525
62	20	0	1.55
63	20	0	1.575
64	20	0	1.6
65	21	0	1.625
66	21	0	1.65
67	21	0	1.675
68	21	0	1.7
69	22	0	1.725
70	22	0	1.75
71	22	0	1.775
72	22	0	1.8
73	22	0	1.825
74	22	0	1.85
75	23	0	1.875
76	23	0	1.9
77	23	0	1.925
78	23	0	1.95
79	24	0	1.975
80	24	0	2
81	24	0	2.025
82	24	0	2.05
83	24	0	2.075
84	24	0	2.1
85	25	0	2.125
86	25	0	2.15
87	25	0	2.175
88	25	0	2.2
89	26	0	2.225
90	26	0	2.25
91	26	0	2.275
92	26	0	2.3
93	27	0	2.325
94	27	0	2.35
95	27	0	2.375
96	28	0	2.4
97	28	0	2.425
98	28	0	2.45
99	28	0	2.475
100	29	0	2.5
101	29	0	2.525
102	29	0	2.55
103	29	0	2.575
104	30	0	2.6
105	30	0	2.625
106	30	0	2.65
107	30	0	2.675
108	31	0	2.7
109	31	0	2.725
110	31	0	2.75
111	31	0	2.775
112	31	0	2.8
113	32	0	2.825
114	32	0	2.85
115	32	0	2.875
116	32	0	2.9
117	32	0	2.925
118	33	0	2.95
119	33	0	2.975
120	33	0	3
121	33	0	3.025
122	33	0	3.05
123	34	0	3.075
124	34	0	3.1
125	34	0	3.125
126	34	0	3.15
127	35	0	3.175
128	35	0	3.2
129	35	0	3.225
130	35	0	3.25
131	35	0	3.275
132	36	0	3.3
133	36	0	3.325
134	36	0	3.35
135	36	0	3.375
136	36	0	3.4
137	37	0	3.425
138	37	0	3.45
139	37	0	3.475
140	38	0	3.5
141	38	0	3.525
142	38	0	3.55
143	38	0	3.575
144	38	0	3.6
145	39	0	3.625
146	39	0	3.65
147	39	0	3.675
148	39	0	3.7
149	39	0	3.725
150	40	0	3.75
151	40	0	3.775
152	40	0	3.8
153	40	0	3.825
154	40	0	3.85
155	40	0	3.875
156	41	0	3.9
157	41	0	3.925
158	41	0	3.95
159	41	0	3.975
160	41	0	4
