Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	1.83710527e-08	1.83710527e-08	1.83710527e-08	1.83710527e-08	0	0	0	0	0	0	3
2	2	0	0.05	-1.94338699e-09	8.21383287e-09	-1.94338699e-09	1.83710527e-08	1.01572199e-08	0	0	0	0	0	3
3	2	0	0.075	-1.38178259e-09	5.01529438e-09	-1.94338699e-09	1.83710527e-08	1.33557583e-08	0	0	0	0	0	3
4	2	0	0.1	3.48776225e-09	4.63341135e-09	-1.94338699e-09	1.83710527e-08	1.37376414e-08	0	0	0	0	0	3
5	3	0	0.125	2.25964373e-09	4.15865782e-09	-1.94338699e-09	1.83710527e-08	1.42123949e-08	0	0	0	0	0	3
6	3	0	0.15	1.00533211e-10	3.48230372e-09	-1.94338699e-09	1.83710527e-08	1.4888749e-08	0	0	0	0	0	3
7	3	0	0.175	4.43557626e-10	3.04819714e-09	-1.94338699e-09	1.83710527e-08	1.53228556e-08	0	0	0	0	0	3
8	3	0	0.2	-3.27249087e-11	2.66308188e-09	-1.94338699e-09	1.83710527e-08	1.57079708e-08	0	0	0	0	0	3
9	4	0	0.225	1.21568979e-11	2.36853466e-09	-1.94338699e-09	1.83710527e-08	1.60025181e-08	0	0	0	0	0	3
10	4	0	0.25	-5.93275385e-11	2.12574844e-09	-1.94338699e-09	1.83710527e-08	1.62453043e-08	0	0	0	0	0	3
11	4	0	0.275	-7.6572154e-11	1.92553748e-09	-1.94338699e-09	1.83710527e-08	1.64455152e-08	0	0	0	0	0	3
12	4	0	0.3	6.03573971e-11	1.7701058e-09	-1.94338699e-09	1.83710527e-08	1.66009469e-08	0	0	0	0	0	3
13	5	0	0.325	-2.64212134e-10	1.61361981e-09	-1.94338699e-09	1.83710527e-08	1.67574329e-08	0	0	0	0	0	3
14	5	0	0.35	1.84910737e-10	1.51156916e-09	-1.94338699e-09	1.83710527e-08	1.68594836e-08	0	0	0	0	0	3
15	5	0	0.375	2.86402323e-10	1.42989137e-09	-1.94338699e-09	1.83710527e-08	1.69411614e-08	0	0	0	0	0	3
16	5	0	0.4	2.60070921e-10	1.35677759e-09	-1.94338699e-09	1.83710527e-08	1.70142751e-08	0	0	0	0	0	3
17	6	0	0.425	2.03123391e-10	1.28891558e-09	-1.94338699e-09	1.83710527e-08	1.70821371e-08	0	0	0	0	0	3
18	6	0	0.45	3.80154771e-11	1.21942113e-09	-1.94338699e-09	1.83710527e-08	1.71516316e-08	0	0	0	0	0	3
19	6	0	0.475	1.26162067e-09	1.22164216e-09	-1.94338699e-09	1.83710527e-08	1.71516316e-08	0	0	0	0	0	3
20	6	0	0.5	1.74374916e-09	1.24774751e-09	-1.94338699e-09	1.83710527e-08	1.71516316e-08	0	0	0	0	0	3
21	7	0	0.525	1.05206883e-09	3.81798315e-10	-1.94338699e-09	3.48776225e-09	5.43114924e-09	0	0	0	0	0	3
22	7	0	0.55	3.4929312e-10	4.9643232e-10	-1.38178259e-09	3.48776225e-09	4.63349607e-09	0	0	0	0	0	3
23	7	0	0.575	1.64697521e-09	6.4787021e-10	-2.64212134e-10	3.48776225e-09	3.75197438e-09	0	0	0	0	0	3
24	7	0	0.6	3.74521286e-10	4.92208162e-10	-2.64212134e-10	2.25964373e-09	2.52385586e-09	0	0	0	0	0	3
25	8	0	0.625	7.15546809e-12	3.79583749e-10	-2.64212134e-10	1.74374916e-09	2.00796129e-09	0	0	0	0	0	3
26	8	0	0.65	9.90144943e-10	4.24064336e-10	-2.64212134e-10	1.74374916e-09	2.00796129e-09	0	0	0	0	0	3
27	8	0	0.675	1.34021812e-10	4.08587545e-10	-2.64212134e-10	1.74374916e-09	2.00796129e-09	0	0	0	0	0	3
28	8	0	0.7	5.19052562e-10	4.36176419e-10	-2.64212134e-10	1.74374916e-09	1.98895091e-09	0	0	0	0	0	3
29	9	0	0.725	5.97788851e-10	4.65458016e-10	-2.64212134e-10	1.74374916e-09	1.74616469e-09	0	0	0	0	0	3
30	9	0	0.75	5.64522926e-10	4.9665054e-10	-2.64212134e-10	1.74374916e-09	1.54595373e-09	0	0	0	0	0	3
31	9	0	0.775	1.13908429e-09	5.57433362e-10	-2.64212134e-10	1.74374916e-09	1.39052205e-09	0	0	0	0	0	3
32	9	0	0.8	5.05644017e-10	5.79697693e-10	-2.64212134e-10	1.74374916e-09	1.23403606e-09	0	0	0	0	0	3
33	10	0	0.825	2.38855884e-10	6.04851094e-10	7.15546809e-12	1.74374916e-09	1.13198541e-09	0	0	0	0	0	3
34	10	0	0.85	5.28777873e-10	6.22044451e-10	7.15546809e-12	1.74374916e-09	1.05030762e-09	0	0	0	0	0	3
35	10	0	0.875	6.16499495e-10	6.38549309e-10	7.15546809e-12	1.74374916e-09	9.77193844e-10	0	0	0	0	0	3
36	10	0	0.9	7.63653346e-10	6.6372843e-10	7.15546809e-12	1.74374916e-09	9.09331832e-10	0	0	0	0	0	3
37	11	0	0.925	9.68745991e-10	7.0200956e-10	7.15546809e-12	1.74374916e-09	8.6816376e-10	0	0	0	0	0	3
38	11	0	0.95	8.2326036e-10	7.41271805e-10	7.15546809e-12	1.74374916e-09	8.6816376e-10	0	0	0	0	0	3
39	11	0	0.975	8.19934576e-10	7.191875e-10	7.15546809e-12	1.74374916e-09	8.6816376e-10	0	0	0	0	0	3
40	11	0	1	4.22067108e-10	6.53103397e-10	7.15546809e-12	1.64697521e-09	3.61688055e-10	0.00227329609	0	0	0	0	3
41	12	0	1.025	1.29197646e-09	6.65098779e-10	7.15546809e-12	1.64697521e-09	3.61688055e-10	0.00227329609	0	0	0	0	3
42	12	0	1.05	8.37908192e-10	6.89529532e-10	7.15546809e-12	1.64697521e-09	3.61688055e-10	0.00227329609	0	0	0	0	3
43	12	0	1.075	2.21409115e-11	6.08287818e-10	7.15546809e-12	1.29197646e-09	3.61688055e-10	0.00227329609	0	0	0	0	3
44	13	0	1.1	8.21033419e-10	6.1841856e-10	7.15546809e-12	1.29197646e-09	3.61688055e-10	0.00227329609	0	0	0	0	3
45	13	0	1.125	2.98496447e-10	6.1479833e-10	7.15546809e-12	1.29197646e-09	3.61688055e-10	0.00227329609	0	0	0	0	3
46	13	0	1.15	1.65578354e-10	6.22342277e-10	2.21409115e-11	1.29197646e-09	3.32684259e-10	0.00227329609	0	0	0	0	3
47	13	0	1.175	4.75995574e-10	5.97858974e-10	2.21409115e-11	1.29197646e-09	3.32684259e-10	0.00227329609	0	0	0	0	3
48	13	0	1.2	4.56358539e-10	6.13208342e-10	2.21409115e-11	1.29197646e-09	3.05095386e-10	0.00227329609	0	0	0	0	3
49	13	0	1.225	7.63779461e-10	6.24862003e-10	2.21409115e-11	1.29197646e-09	2.75813788e-10	0.00227329609	0	0	0	0	3
50	14	0	1.25	5.69745748e-10	6.23526618e-10	2.21409115e-11	1.29197646e-09	2.44621265e-10	0.00227329609	0	0	0	0	3
51	14	0	1.275	9.05144901e-10	6.39746712e-10	2.21409115e-11	1.29197646e-09	1.83838443e-10	0.00227329609	0	0	0	0	3
52	14	0	1.3	4.62283639e-10	6.07518109e-10	2.21409115e-11	1.29197646e-09	1.61574112e-10	0.00227329609	0	0	0	0	3
53	14	0	1.325	1.50336981e-09	6.55028862e-10	2.21409115e-11	1.50336981e-09	1.43412831e-10	0.00227329609	0	0	0	0	3
54	14	0	1.35	6.1195352e-10	6.72795416e-10	2.21409115e-11	1.50336981e-09	1.43412831e-10	0.00227329609	0	0	0	0	3
55	14	0	1.375	1.57881812e-09	7.22797332e-10	2.21409115e-11	1.57881812e-09	1.43412831e-10	0.00227329609	0	0	0	0	3
56	14	0	1.4	5.3046027e-10	7.18700226e-10	2.21409115e-11	1.57881812e-09	1.43412831e-10	0.00227329609	0	0	0	0	3
57	15	0	1.425	6.29311774e-10	7.12303009e-10	2.21409115e-11	1.57881812e-09	1.43412831e-10	0.00227329609	0	0	0	0	3
58	15	0	1.45	3.32953704e-10	6.82027185e-10	2.21409115e-11	1.57881812e-09	1.43412831e-10	0.00227329609	0	0	0	0	3
59	15	0	1.475	8.03300875e-10	6.81076734e-10	2.21409115e-11	1.57881812e-09	1.24938359e-10	0.00227329609	0	0	0	0	3
60	15	0	1.5	2.26641453e-10	6.5282468e-10	2.21409115e-11	1.57881812e-09	1.24938359e-10	0.00227329609	0	0	0	0	3
61	15	0	1.525	4.84701492e-10	6.5580727e-10	2.21409115e-11	1.57881812e-09	1.24938359e-10	0.00227329609	0	0	0	0	3
62	15	0	1.55	2.33066584e-10	6.0538299e-10	2.21409115e-11	1.57881812e-09	1.24938359e-10	0.00227329609	0	0	0	0	3
63	16	0	1.575	6.93149938e-10	5.9848974e-10	2.21409115e-11	1.57881812e-09	1.24938359e-10	0.00227329609	0	0	0	0	3
64	16	0	1.6	1.86361424e-10	6.06309764e-10	1.65578354e-10	1.57881812e-09	1.24938359e-10	0.00227329609	0	0	0	0	3
