Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	2	0	0.05
3	2	0	0.075
4	2	0	0.1
5	3	0	0.125
6	3	0	0.15
7	3	0	0.175
8	3	0	0.2
9	4	0	0.225
10	4	0	0.25
11	4	0	0.275
12	5	0	0.3
13	5	0	0.325
14	5	0	0.35
15	5	0	0.375
16	6	0	0.4
17	6	0	0.425
18	6	0	0.45
19	6	0	0.475
20	7	0	0.5
21	7	0	0.525
22	7	0	0.55
23	7	0	0.575
24	7	0	0.6
25	8	0	0.625
26	8	0	0.65
27	8	0	0.675
28	9	0	0.7
29	9	0	0.725
30	9	0	0.75
31	9	0	0.775
32	9	0	0.8
33	10	0	0.825
34	10	0	0.85
35	10	0	0.875
36	11	0	0.9
37	11	0	0.925
38	11	0	0.95
39	11	0	0.975
40	11	0	1
41	12	0	1.025
42	12	0	1.05
43	12	0	1.075
44	12	0	1.1
45	13	0	1.125
46	13	0	1.15
47	13	0	1.175
48	13	0	1.2
49	13	0	1.225
50	14	0	1.25
51	14	0	1.275
52	14	0	1.3
53	14	0	1.325
54	14	0	1.35
55	14	0	1.375
56	14	0	1.4
57	15	0	1.425
58	15	0	1.45
59	15	0	1.475
60	15	0	1.5
61	15	0	1.525
62	16	0	1.55
63	16	0	1.575
64	16	0	1.6
65	16	0	1.625
66	16	0	1.65
67	16	0	1.675
68	16	0	1.7
69	17	0	1.725
70	17	0	1.75
71	17	0	1.775
72	17	0	1.8
73	17	0	1.825
74	17	0	1.85
75	18	0	1.875
76	18	0	1.9
77	18	0	1.925
78	18	0	1.95
79	18	0	1.975
80	18	0	2
81	18	0	2.025
82	19	0	2.05
83	19	0	2.075
84	19	0	2.1
85	19	0	2.125
86	20	0	2.15
87	20	0	2.175
88	20	0	2.2
89	20	0	2.225
90	20	0	2.25
91	20	0	2.275
92	20	0	2.3
93	21	0	2.325
94	21	0	2.35
95	21	0	2.375
96	21	0	2.4
97	21	0	2.425
98	21	0	2.45
99	22	0	2.475
100	22	0	2.5
101	22	0	2.525
102	22	0	2.55
103	22	0	2.575
104	22	0	2.6
105	23	0	2.625
106	23	0	2.65
107	23	0	2.675
108	23	0	2.7
109	23	0	2.725
110	23	0	2.75
111	24	0	2.775
112	24	0	2.8
113	24	0	2.825
114	24	0	2.85
115	24	0	2.875
116	24	0	2.9
117	25	0	2.925
118	25	0	2.95
119	25	0	2.975
120	25	0	3
121	25	0	3.025
122	25	0	3.05
123	25	0	3.075
124	26	0	3.1
125	26	0	3.125
126	26	0	3.15
127	26	0	3.175
128	26	0	3.2
129	27	0	3.225
130	27	0	3.25
131	27	0	3.275
132	27	0	3.3
133	27	0	3.325
134	27	0	3.35
135	27	0	3.375
136	28	0	3.4
137	28	0	3.425
138	28	0	3.45
139	28	0	3.475
140	28	0	3.5
141	28	0	3.525
142	29	0	3.55
143	29	0	3.575
144	29	0	3.6
145	29	0	3.625
146	29	0	3.65
147	29	0	3.675
148	30	0	3.7
149	30	0	3.725
150	30	0	3.75
151	30	0	3.775
152	30	0	3.8
153	31	0	3.825
154	31	0	3.85
155	31	0	3.875
156	31	0	3.9
157	31	0	3.925
158	32	0	3.95
159	32	0	3.975
160	32	0	4
