Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	8.07972794e-09	8.07972794e-09	8.07972794e-09	8.07972794e-09	0	0	0	0	0	0	3
2	3	0	0.05	-7.9237364e-10	3.64367715e-09	-7.9237364e-10	8.07972794e-09	4.43605079e-09	0	0	0	0	0	3
3	3	0	0.075	-5.78442716e-10	2.23630386e-09	-7.9237364e-10	8.07972794e-09	5.84342408e-09	0	0	0	0	0	3
4	3	0	0.1	1.1442526e-09	1.96329105e-09	-7.9237364e-10	8.07972794e-09	6.11643689e-09	0	0	0	0	0	3
5	4	0	0.125	3.27671285e-10	1.63616709e-09	-7.9237364e-10	8.07972794e-09	6.44356084e-09	0	0	0	0	0	3
6	4	0	0.15	-1.75630356e-10	1.33420085e-09	-7.9237364e-10	8.07972794e-09	6.74552708e-09	0	0	0	0	0	3
7	4	0	0.175	3.22808475e-11	1.14821228e-09	-7.9237364e-10	8.07972794e-09	6.93151566e-09	0	0	0	0	0	3
8	5	0	0.2	2.19613223e-10	1.0321374e-09	-7.9237364e-10	8.07972794e-09	7.04759054e-09	0	0	0	0	0	3
9	5	0	0.225	-9.06385667e-11	9.07384513e-10	-7.9237364e-10	8.07972794e-09	7.17234342e-09	0	0	0	0	0	3
10	5	0	0.25	-1.11475284e-10	8.05498533e-10	-7.9237364e-10	8.07972794e-09	7.2742294e-09	0	0	0	0	0	3
11	5	0	0.275	-2.80298589e-10	7.06789704e-10	-7.9237364e-10	8.07972794e-09	7.37293823e-09	0	0	0	0	0	3
12	5	0	0.3	5.21616994e-10	6.91358645e-10	-7.9237364e-10	8.07972794e-09	7.38836929e-09	0	0	0	0	0	3
13	6	0	0.325	2.9494674e-10	6.60865421e-10	-7.9237364e-10	8.07972794e-09	7.41886252e-09	0	0	0	0	0	3
14	6	0	0.35	6.04997845e-10	6.5687488e-10	-7.9237364e-10	8.07972794e-09	7.42285306e-09	0	0	0	0	0	3
15	6	0	0.375	1.65591716e-09	7.23477699e-10	-7.9237364e-10	8.07972794e-09	7.42285306e-09	0	0	0	0	0	3
16	6	0	0.4	1.10378149e-10	6.85158977e-10	-7.9237364e-10	8.07972794e-09	7.42285306e-09	0	0	0	0	0	3
17	7	0	0.425	1.95175066e-12	6.44970317e-10	-7.9237364e-10	8.07972794e-09	7.43475762e-09	0	0	0	0	0	3
18	7	0	0.45	-6.32707248e-10	5.7398823e-10	-7.9237364e-10	8.07972794e-09	7.50573971e-09	0	0	0	0	0	3
19	7	0	0.475	-5.53659655e-10	5.14638341e-10	-7.9237364e-10	8.07972794e-09	7.5650896e-09	0	0	0	0	0	3
20	8	0	0.5	-5.4454097e-10	4.61679375e-10	-7.9237364e-10	8.07972794e-09	7.61804856e-09	0	0	0	0	0	3
21	8	0	0.525	-1.89650424e-10	4.82104574e-11	-7.9237364e-10	1.65591716e-09	2.4482908e-09	0	0	0	0	0	3
22	8	0	0.55	5.57512775e-10	1.15704778e-10	-6.32707248e-10	1.65591716e-09	2.1880934e-09	0	0	0	0	0	3
23	9	0	0.575	4.89544227e-10	1.69104125e-10	-6.32707248e-10	1.65591716e-09	1.91508059e-09	0	0	0	0	0	3
24	9	0	0.6	3.02760219e-10	1.27029506e-10	-6.32707248e-10	1.65591716e-09	1.58795664e-09	0	0	0	0	0	3
25	9	0	0.625	2.7637621e-10	1.24464752e-10	-6.32707248e-10	1.65591716e-09	1.28599039e-09	0	0	0	0	0	3
26	10	0	0.65	-3.27660417e-10	1.16863249e-10	-6.32707248e-10	1.65591716e-09	1.10000182e-09	0	0	0	0	0	3
27	10	0	0.675	1.88764523e-10	1.24687433e-10	-6.32707248e-10	1.65591716e-09	9.8392694e-10	0	0	0	0	0	3
28	10	0	0.7	9.2256268e-11	1.18319585e-10	-6.32707248e-10	1.65591716e-09	8.59174055e-10	0	0	0	0	0	3
29	11	0	0.725	1.43440791e-11	1.23568718e-10	-6.32707248e-10	1.65591716e-09	7.57288076e-10	0	0	0	0	0	3
30	11	0	0.75	3.11174278e-10	1.44701196e-10	-6.32707248e-10	1.65591716e-09	6.75267241e-10	0	0	0	0	0	3
31	11	0	0.775	1.70808405e-10	1.67256546e-10	-6.32707248e-10	1.65591716e-09	6.75267241e-10	0	0	0	0	0	3
32	12	0	0.8	-2.96233374e-11	1.39694529e-10	-6.32707248e-10	1.65591716e-09	6.75267241e-10	0	0	0	0	0	3
